priority,risk_score,invoice_id,status,final_status,expected_status,confidence,risk_reason,ai_investigated,ai_decision,ai_confidence,ai_action,ai_reason,ai_time_seconds
P0_CRITICAL,99.0,INV-00394,MATCHED,MATCHED,MISSING_PAYMENT,90.0,High-confidence MATCHED prediction conflicts with the expected status.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,86.24,INV-00212,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,80.29,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,86.18,INV-00355,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,79.89,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,86.18,INV-00351,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,79.88,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,86.02,INV-00118,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,78.69,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.87,INV-00496,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.63,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.86,INV-00106,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,77.56,System status AMOUNT_MISMATCH disagrees with expected status SPLIT_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.79,INV-00043,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.1,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.79,INV-00114,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.06,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.78,INV-00452,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.01,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.73,INV-00190,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,76.67,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.57,INV-00222,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,75.5,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.45,INV-00094,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,74.65,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.35,INV-00447,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,73.93,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.35,INV-00410,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,73.92,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.32,INV-00054,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,73.75,System status AMOUNT_MISMATCH disagrees with expected status SPLIT_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.21,INV-00298,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.93,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.2,INV-00124,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.86,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.16,INV-00354,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.58,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.1,INV-00287,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.11,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.07,INV-00348,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.91,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,85.01,INV-00210,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.49,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.99,INV-00492,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.36,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.98,INV-00103,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.26,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.94,INV-00290,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.03,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.9,INV-00123,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.73,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.89,INV-00416,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,70.62,System status AMOUNT_MISMATCH disagrees with expected status SPLIT_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.85,INV-00342,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.35,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.83,INV-00330,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.19,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.75,INV-00395,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.63,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.68,INV-00021,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.17,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.67,INV-00440,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.06,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.64,INV-00337,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,68.85,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
P1_HIGH,84.62,INV-00074,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,68.74,System status AMOUNT_MISMATCH disagrees with expected status MISSING_PAYMENT.,False,,0.0,NOT_REQUIRED,,0.0
