invoice_id,status,final_status,expected_status,confidence,ai_decision,ai_confidence,ai_action,ai_reason,ai_time_seconds
INV-00021,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.17,,0.0,NOT_REQUIRED,,0.0
INV-00043,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.1,,0.0,NOT_REQUIRED,,0.0
INV-00047,REVIEW_REQUIRED,REVIEW_REQUIRED,MISSING_PAYMENT,47.65,HUMAN_REVIEW,0.0,HUMAN_REVIEW,Ollama request timed out.,32.12
INV-00054,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,73.75,,0.0,NOT_REQUIRED,,0.0
INV-00072,REVIEW_REQUIRED,AMOUNT_MISMATCH,MISSING_PAYMENT,64.14,AMOUNT_MISMATCH,0.85,AUTO_RESOLVE,"Invoice amount is significantly different from the matched transaction, despite matching on strong customer and date.",30.24
INV-00074,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,68.74,,0.0,NOT_REQUIRED,,0.0
INV-00094,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,74.65,,0.0,NOT_REQUIRED,,0.0
INV-00103,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.26,,0.0,NOT_REQUIRED,,0.0
INV-00106,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,77.56,,0.0,NOT_REQUIRED,,0.0
INV-00114,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.06,,0.0,NOT_REQUIRED,,0.0
INV-00118,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,78.69,,0.0,NOT_REQUIRED,,0.0
INV-00123,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.73,,0.0,NOT_REQUIRED,,0.0
INV-00124,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.86,,0.0,NOT_REQUIRED,,0.0
INV-00129,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,68.03,,0.0,NOT_REQUIRED,,0.0
INV-00177,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,66.2,,0.0,NOT_REQUIRED,,0.0
INV-00190,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,76.67,,0.0,NOT_REQUIRED,,0.0
INV-00210,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.49,,0.0,NOT_REQUIRED,,0.0
